Title,Price,Sold,Reviews,Condition,Brand,Area Covered,Power Source,Control Style,Mounting Location,Operating Sound Rating,Number of Heat Settings,Colour,Type,Item Dimensions,Material,Item Length,Item Width,Item Height,Colormap,Product Type,MPN,Model,Heating System,Voltage,Features,Power,Energy Efficiency Rating,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),BTU Heating Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Depth,EC Range,EAN,Country/Region of Manufacture,Color,UPC,Year Manufactured,Air Direction,Smart Home Protocol,Power (W),Unit Type,Design,Voltage Supply,Timer Control,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Modification Description,Battery Included,Bundle Description,Custom Bundle,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Height,Heating Wattage,PackQty,Current Rating,ISBN,Publisher,Refrigerant,Tonnage,Manufacturer Warranty,Smart Home Compatibility,Size,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Amperage (amps),Heating Technology Type,Voltage (volts),Product Weight (lb),Heating Product Type,GTIN,Energy Star,Item model number,Batteries Required?,Assembly Required,Country of Origin,Heating Method,Number of Pieces,Package Dimensions,Included Components,Compatible Brand,Age Group,Brand Color,Chemical,Cooling BTU/Hr,Fuel Consumption,Fuel Rate (gal./hr.),Fuel Tank Capacity (gal.),Gender,Heat Rating (Btu/Hr.),Ignition Type,Style,ItemWidth,ItemLength,ItemHeight,Model Number,Package,Piece Count,Installation,Bundle Listing,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,manufacturer_part_number,Heat Output,JAN,Tracking,ShippingService,Heating Technology,Manufacturer Color,Heater Style,Width,Model No.,Pattern Name,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,Room,ProductTypeName,PartNumber,ProductGroup,Binding,Label,NumberOfItems,Studio,MaterialType,PackageQuantity,Warranty,item_width,item_length,Heat rating (BTU/hour),Pack Size,Brand compatible,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Product Name,Thickness,Compressor Type,Housing Material,Fuel Type,Cord Length (ft),Assembled Height (in),Item Location,Outdoor Living Product Type,Color/Finish,Assembled Depth (in),Total BTU,Shipping,Quantity,Heating Area (sq ft),Patio Heater Type,Assembled Width (in),Tax,Item Weight Major,state limitations,Area Heated (Sq. Ft.),Product Weight (lb.),Heat Output (BTU/hour),Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,package_length,Country Of Origin,Platform,Languages,IsMemorabilia,IsAutographed,Department,SKU,Temperature control,Watts,Plug Type,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Thermostat,Safety tip-over switch,Fuel type,Heat type,Oxygen depletion sensor (ODS),High limit safety shut-off (HLS):,Indoor safe,Ignition,Hose & regulator included,BTU per hour:,Heating area (sq. ft.),Tank capacity (min.),Runtime,Maximum elevation,Connectivity,Dosage,Product,Format,Compatible Model,Author,Book Tittle,Language,UPC/GTIN Code,Mor Electric Heating SKU,Satisfaction,Product Dimensions,Heating settings,Wattage,Restricted States,ItemPackageQuantity,Power Line,Item,Return,OPEN BOX,Customer Return:,State limitations,Product name,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,Shipping Weight,Unit Quantity,Heating BTU,Manufacturer Colour,Finish,Room Coverage Area,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,Accessory Type,Item Package,assembled_product_dimensions_l_x_w_x_h,power_type,recommended_location,assembled_product_weight,manufacturer
"Tank-Top Propane Heater - Double Burner, 30,000 BTU",105.4,30-day returns,"['It was shipped in its original ( factory )packaging. After opening the package noticed that the heater is just placed in the box with no wrapping nor protection. All screws and bolts came loose. 4 bolts was detached on the bottom of the box. The main pipe was also loose. The regulator didn’t work at all. Had to install another regulator to get it work. After fixing all loose parts and changing the regulator it started up but the flame didn’t stay on after releasing the push button. Not even after a full 1 minute holding it in. Took me an hour to figure out why. The thermostat wires were too close to the head ( factory design) that’s why it didn’t stay on. I moved those wires away from the head then it worked. It’s just a horrible design with a lot of flaws. It works now but most likely it won’t work for someone who doesn’t wanna spend time fixing stuff...', 'Good basic heater, one burner a bit tougher to stay lite at first but over all puts our great heat.', 'After receiving the heater it did not work, the control valve needed to be replace, which I did replace now all is good and working fine.', 'The unit meets my requirements for heating a small workshop.  Works great!', 'Takes a little longer to get started but is well worth the extra time it takes. Heats my shop up fast.', 'Easy to light. Puts out lots of heat. Makes a bit of noise while working.', 'It would be great if both of the burners work.  Only one does.', 'Haven’t had the heater very long so don’t know how fast it uses propane but heats my garage real well', 'It works great! Pretty easy to use but the left burner takes longer to ignite. ', ""Doesn't want to stay lit. ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Procom,,Propane,"Dial, Switch",,,3,,,,Steel,,,,,,PCTT30,,Radiant,12 V,,,,,,,2000-2999 BTU,,,,,0848660000301,,"Silver, Gray",0848660000301,2000,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Year Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dura Heat TT-30CSA Tank Top Double Propane Heater,110.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,,Propane,Switch,,Standard,1,,,,Steel,,,,,,TT30CSA,Dura Heat TT30,Convection,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protemp 60000-BTU Portable Forced Air Propane Heater,105.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Protemp,,Propane,Dial,,,,,Portable Heater,,,,,,,,,Ptx-60v-gfa-a,Forced Air/Fan,,,,,,,,40000-60000,,,,,,,Red,0657888110606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaze Heater Amaze- Heater 100-Watt Ceramic Electrical Wall-Mount ,138.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Amaze-Heater,,Electric,,Wall,,,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane Portable Heater 9000 BTU Includes Igniter Oxygen Safety Shut-off System,108.01,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,225 sq ft,"Gas,Propane",Analog/Mechanical,Garage,,2,,Heaters,,,,,,,,MH9BX,MH9BX,,,"Handle,Indoor,Cordless",,,,,,"4,000/9,000",,,,,0705353690730,,"Red,Black",705353690730,,,,,,,,,mh9bx,ENERCO GROUP INC,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40 x 8.30 x 15.00 Inches,Gas,Indoor,7.71 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuraHeat FA1210 External In-Line Thermostat for Kerosene Forced Air Heaters,105.18,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dura Heat,,,,,,,,Not Specified,,,,,,,,FA1210,,,,,,,,,,,,,,,013204712105,,,013204712105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00013204712105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeatStar™ HS35FA 35,000 BTU Portable Propane Gas Forced Air Heater",109.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heatstar,,Gas,,,,,,Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater Corporation 29,000-45,000 BTU 540 Degree Tank Top, Multi",108.62, ,"[""Easy to set-up and really puts out the heat.  On the lowest setting this thing gets super hot!  I live in Wisconsin, on a 18 degree November morning this heater warmed our non-insulated 2-1/2 car garage to 72 degrees in a little over 2 hours (on the highest setting).  Does not come with electronic ignition but that's not a deal breaker.  Starts easily (just don't stand above it when lighting)    Seems well made.  Quality product with very good packaging.  I do not regret this purchase!"", 'I use to have a smaller, 15000 size tank top and the winters in the cinder block garage were tough. This product is faster and I feel more efficient to operate, thumbs up here', 'I use this out in my 20x12 shed, keeps me warm when I am working or just sitting out there. It get pretty cold where I live and it is nice to go out and fire it up. Within a couple minutes, it’s toasty, ready to work. ', ""I think that it's ok for use inside a shop but not for what I wanted to use it for which is outside use. now that's not the fault of the seller, it was on me and this by no means is a bad review.  I take full responsibility for this purchase. thanks "", 'Easy assembly and has plenty of heating power, its also a low profile so is space saving, also simple to light with a wood match or long lighter', 'Great emergency heater!  It took no time to heat up a couple rooms of a little trailer, and the heater was only on low!  At that setting a tank of propane should last around 14hrs.  I imagine on high it would be the type of heater that several people could stand around in some pretty cold weather and keep warm, like during ice skating.  Even on high, a tank should last about 9.5hrs.  A good value!', ""I love this little gadget. We've had the tall metal heaters for years and they've gotten so rusty and nasty and they take up so much room on our deck. This one is small, easy to hook up, easy to use, and it really heats the place up."", 'I really like it. Type this into YouTube and see my video reviewType... Mr. Heater F242540 45,000 BTU 540 Degree Propane Heater.I made the review I was looking for and could not find. My gas meter and regulator went bad in Pennsylvania on one of the coldest days of the year. I was caught unprepared. Now at least I have a backup portable heat source. I wish I could add my video to this post but it will only let me add pictures. So go check out my video.', 'It works awesome but eats up propane fast. On low a 20 lb tank only lasts about 6 hrs. But i still love it', 'I got it because i use in in my outside carport So i can  work on my snowblower or generator when its cold i have no other place to do this i put up a plastic sheet at the opening of the carport which is still well ventilated so it works good but takes more time since its not a garage but for now i can keep warm while i work  I am glad i got it. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr Heater Corp,Small,Propane,Switch,,Quite,3,,"Tank Top, Space Heater",,Steel,,"8.9 in, 8.9in.",,,,F242540,F242540,Radiant,,Outdoor,45000BTU,,,,,,,,,,Does not apply,,Multicolor,089301000629,,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomi Smart WiFi Portable Tower Space Heater - NEW,109.5, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Atomi,,Electric,,"Desk/Tabletop, Floor",,,,Tower Heater,,,,,,,,AT1481,AT1481,,120 V,,1500 W,,,,,,,,,,Does not apply,,Black,Does not apply,,,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F232000 MH9BX Buddy 4000-9000-BTU Indoor-Safe Portable,109.42,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Branded,,Battery,,Floor,,3,,Portable Heater,,Aluminum,,,,,,,Mr. Heater Buddy MH9BX,Heat Pump,Not Electric,,,,,,,,1 gal or Less (5 L),,,A+++ - D,,,Red,0089301320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater Buddy 4,000-9,000-BTU Indoor-Safe Portable Propane Radiant Heater",105.90, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,See item description,Propane,See item description,Floor,None,Hi-Low heat settings,,Portable Heater,,See item description,13.40,8.30,,,,mh9bx,mh9bx,Radiant,See item description,Fold down handle,See item description,,See item description,See item description,See item description,"4,000 or 9,000 BTU per hour",See item description,See item description,See item description,A+++ - D,0705353690730,,Red/Black,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DONYER POWER 14"" Mini Electric Fireplace Tabletop Portable Heater 1500W Black...",108.2,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",DONYER POWER,500 square feet,Electric,,Desk/Tabletop,,1,,"Unit Heater, Electric Fireplace",,Metal,,,,,,YBFEJ16ABLK,YBFEJ16ABLK,Radiant,120 V,Indoor,,,,,,,,,,,0645497827633,,Black,0645497827633,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0645497827633,,,,,,14'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater Buddy 4,000-9,000-BTU Indoor-Safe Portable Propane Radiant Heater",106.59, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,See item description,Propane,See item description,Floor,None,Hi-Low heat settings,,Portable Heater,,See item description,13.40,8.30,,,,mh9bx,mh9bx,Radiant,See item description,Fold down handle,See item description,,See item description,See item description,See item description,"4,000 or 9,000 BTU per hour",See item description,See item description,See item description,A+++ - D,0705353690730,,Red/Black,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Fireplace Stove Space Heater 1500W Portable Freestanding with Thermosta,109.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",ZOKOP,101-150 sq ft,Electric,Rotary Knob,Floor,≤59db,2,,Portable Heater,,NA,22in,10in,,,,D0102HHBES7,HT-1108,Infrared,12 V,Auto Shut-Off,1001-1500 W,,Coil,Na,NA,5118,NA,NA,16 in,A – G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*600W/1500W Outdoor Electric Patio Heater-Balcony Courtyard Ceiling Mount Style,105.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,Electric,,,,,,Patio Heater,,"aluminum,stainless steel",,,,,,Does not apply,,,120V 60Hz,,600W/1500W,,,,,,,,,,Does not apply,,Silver,686086979807,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chain Type Terrace Heater,1.6m,43*43*33CM,2.64kg/3.54,46.7*45.2*35.9CM,1x electric patio heater+1x product brochure,,,,,,,,,,,,,,,,,,,,,,
Dreo Space Heater for Indoor Use 1500W Fast Heating Ceramic Electric Heater w...,105.17, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,Does not apply,,Black,860006539566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0860006539566,,,,,,16 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreo Space Heater for Indoor Use 1500W Fast Heating Ceramic Electric Heater w...,105.17,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,Does not apply,,Black,860006539566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0860006539566,,,,,,16 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr Heater Outdoor Portable Camping Stove 8,000 BTU Buddy FLEX Cooker",108.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,,,,,,,Does not apply,,,,,,,,,f600500,,,,,,,,,,,,,,,,Red,313039470493,,,,,,,,,F600500,Mr. Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50 x 9.00 x 5.50 Inches,,,8.45 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,000 BTU Propane Tank Top Heater, Portable Infrared Heater with Safety Shut-of",107.11,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",COSTWAY,,,,,,,,,,,,,,,,Does not apply,Does Not Apply,,,,,,,,,,,,,,0744759262516,,Does not apply,744110740790,,,,,,,,,,COSTWAY,2.5 pounds,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5 x 6.5 x 13 inches,,,,,,,,,,,,,,,,,2.5 pounds,,,,,,,,,,,,,,,,,,,,,
"Vulcan Re8-1000B Replacement Heating Element,240V,8 In. L",110.0,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vulcan,,N/A,,,,1,,Heating Equipment > Heaters & Furnaces > Electric Process Heaters,,Steel,,4.500,,,,RE8-1000B,,,240 V,"Item Finned Tubular Heating Element, Overall Length 8 in, Install",,,,,,,,,,,,,N/A,Does not apply,,,,,,,,,,,,,,,No,,,N/A,,1.25,4.500,N/A,N/A,N/A,8.500,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oil-Filled Radiator Space Heater, 1500W Portable Electric Heater w/ Remote&Digit",108.77,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TRUSTECH,,"Electric, Oil",Digital,,,,,Portable Heater,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,Black digital radiator heater,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium Oil Filled Heater with Digital Thermostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
