Title,Price,Sold,Reviews,Condition,Brand,Type,Control Style,Power Source,Heating System,Color,Voltage,Model,Number of Heat Settings,Features,Mounting Location,Power,UPC,Type 1,Material,MPN,EAN,Energy Efficiency Rating,Tank Capacity,Item Length,Area Covered,BTU Heating Rating,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),Year Manufactured,Item Depth,Heating Element Format,Colour,Energy Efficiency Ratio (EER),Cable Length,Item Width,Operating Sound Rating,Custom Bundle,Energy Rating,Air Direction,Manufacturer Warranty,Item model number,Product Dimensions,Item Weight,Heating Method,Item Dimensions LxWxH,ISBN,Power (W),Unit Quantity,Country/Region of Manufacture,Design,Voltage Supply,Manufacturer Part Number,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Cool Fan Setting,Energy Star,Smart Home Protocol,Location,Timer Control,Smart Home Compatibility,Tonnage,Refrigerant,Batteries Required?,Is Discontinued By Manufacturer,Manufacturer,Package Contents,Prop65_fl,Prop65Warning,Gear,Heating element,Heating Wattage,Rated power,Rated voltage,Weight,Length,Height,Current Rating,Size,Hight,Model Number,Package,Piece Count,Product Type,Country Of Origin,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Certification,Colors,Function,Function1,Function2,ItemWidth,ItemLength,ItemHeight,Warranty Description,Assembly Required,Material Care Instructions,Included Components,Video of unit turned on,Heater Style,BU Heating Rating,Annual Fuel Utilization Efficiency/ AFUE,Heater Model Number,Heating Element,Product Weight,Room Heater,Application,Area Heated,Electric Heater,Electric Heater Type,Heater for Home,Suitable for,Wholesale,Use,Thermostat,Item name,Number of Speed Settings,Voltage (V),Ceramic Heating Element,Dropshipping,Size with box,Heater,Warmer Blower,Recommended Environment,Power Type,Heat Output,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Width,Binding,Studio,Scent,Publisher,ProductTypeName,ProductGroup,PackageQuantity,MaterialType,Label,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Key Word,ProductType,Application:,Power supply:,Heater Plug Type:,Heater Type:,Item Type,Installation,House heaters,Home heater,NumberOfItems,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,PackQty,Dimension(ID*H),Power Tolerance,Product Name,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Package Dimensions,Dimension,Timer,Temperature setting,Idle Speed of Fan,New Title,Mounting & Moving,Compressor Type,Manufacturer Color,Country of Origin,Warranty,PRICE,USE,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Add To Watchlist,We Dont Accept PO BOX,Product Height (in),Baseboard Heating Type,Product Depth (in),Heat rating (BTU/hour),Color Family,Hydronic,Product Length (in),Vented,Pack Size,Product Width (in),Product Weight (lb),Heating Product Type,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions
"Space Heater, 1500W Electric Heaters Indoor Portable with Thermostat , PTC Fast ",40.39,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,Corded Electric,,Black,,,,,,,744110763485,,,,0744110763485,,,,,,,,,,,,,,,,,,,,,,,,"Forced Air, Convection",6.4 x 4.8 x 9.09 inches,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyuugo Black Ceramic Electric Heater Instant Heat FREE SHIPPING,42.88, , ,,Toyuugo,Portable Heater,Push Button,Electric,Forced Air/Fan,Black,120 V,,1,"Tip-Over Protection, Quiet, Auto Shut-off, Oscillation","Desk/Tabletop, Floor",501-600 W,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F273711 Brass/Plastic Hose Assembly 1 Dia. in.x1 Dia. in.x12 L ft.,41.13,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Hose Assembly,,,,Black,,Mr. Heater,,,,,089301737112,,Brass and Plastic,,,,,3.00000,,,,,,,,,,,,10.0,,,,,,,,0.70000,,,,,,,,,F273711,,,,,,10.7,,,,,,,,,,,,MR HEATER,,Y,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andily Space Heater Electric Heater for Home and Office Ceramic Small Heater ...,41.0,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",andily,,,,,,,Does not apply,,,,,0761895929165,,,,0761895929165,,,,,,,,,,,,,,,,,,,,,,,,,,0761895929165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2*4.74*8.3in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 Business Days (Usually same day),U.S.A Free And Fast Shipping,100% Customer Satisfaction,"Professional Service, We Will Solve Any Problem",Shipped to select countries outside of USA,"USA 60 Day, International 30 Day Money-Back Guarentee",This product has a special price for a limited time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell UberHeater Ceramic Heater HCE200B, Black",44.95,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Honeywell,,"Rotary Knob, Switch, Touch",Electric,Forced Air/Fan,Black,,,2,,"Desk/Tabletop, Floor",1001-1500 W,092926200985,,Ceramic,HCE200B,0092926200985,,1 gal or Less (5 L),,100 sq ft or Less,5000-5999 BTU,,,Less Than 80%,2016,,Strip,,3 or Less,6 ft,,None,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTM SPACE HEATER SPARK PLUG IGNIER 68-3036 - NEW,42.99,Last item available, ,,n/a,n/a,,,,,,n/a,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Pure Warmth Portable Space Heater 1200W,40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Handy Heater,Portable Heater,,Electric,,,1200w,pure warmth 1200w,3,,Desk/Tabletop,,735541199202,,,21008,,,,5.73,100-300 sq. ft,,Ceramic,,,,6.69,,,,,6.40,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presto 1000 Watts Heat Dish Parabolic Electric Heater Model 0791708 Works Great,45.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Presto,Parabolic/Dish,"Dial, Switch",Electric,Radiant,Black,120 V,unmarked,3,3 Settings,"Desk/Tabletop, Floor",1000 Watts,Does not apply,,Aluminum,,,,n/a,N/A,100 sq ft or Less,2000-2999 BTU,Unknown,,Less Than 80%,,N/A,Coil,,3 or Less,N/A,N/A,None,No,,1-Way,None,,,,,,,,,China,,,,,,,,,,,,Compliant,N/A,,N/A,N/A,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black & Decker Convection Heater Model BDCV200 Control Thermostat 2 Heat Setting,40.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",BLACK+DECKER,convection,"Push Button, Rotary Knob",Electric,Convection,white,120,BDCV200,2,,Floor,1001-1500 W,,,,,,,,,,,,,,,,,,,,"25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclone Booster Fan Plus With Built In Thermostat In White For All Seasons NEW,45.0,30-day returns,"['Bought this booster fan to direct warm air into a utility room that has no heat.  I ran a short duct from my den, through a closet, and into the utility room.  I installed the booster in the duct opening in the utility room and it works like a charm.  It took a little bit to get it adjusted, but now whenever the heat is on in the den the fan comes on and draws it into the utility room, making a big difference in temperature.  A few minutes after the heat in the den shuts off, the booster fan shuts off.Overall a nice booster fan that runs quiet, efficiently, and gets the job done.', 'Bought for a room farthest from my furnace. Before the room had very little air flow so was cold in the winter. This makes a big difference. Works very well. That room is now about the same tempreture as the rest of the house.', ""Second time we've bought this product.  It works like a charm."", ""Just doesn't put out the airflow that I anticipated but still a good product"", 'Would like a little more air flow. But it is very quite.']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Cyclone,Baseboard Heater,"Switch, Analog/Mechanical, Rotary Knob","Fan, Electric",Forced Air/Fan,White,120 V,,1,,"Baseboard, Floor",101-200 W,0671519300822,,Steel,CM300W,0671519300822,,,,,,Steel,,,2016,6 in,,,,"12.1""",,,,,1-Way,One Year Protection From Manufacturing Defect,,,,,,,,,,,,,,,,,,,,,,X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indus-Tool Model CL Under Desk Foot Warmer Tested BS3,,30-day returns,"[""In a Northern state, I've got an expensive office and the brilliant engineers designed a heating system with freezing cold floors. Not only that, constantly getting in and out of the car means inevitable snow on one's shoes in bad weather. This is a prescription for cold feet.This product is ideal for the job. Made of rubber so it's impervious to water or stains, cranks out the heat on high and trolls along beautiful on low. Plus, it's good size, bigger than the cheapie models so you don't have to think about where your feet are placed. Great value and highly recommended."", ""This rubber mat is excellent. I use it under my desk to keep my feet warm. It gets very hot. I believe around 135 degrees is what the mat heats up to. So this isn't some cheap mat that kinda gets warm.You can use it to warm your boots up also. The mat is injection molded one piece so it is water proof also. Would probably work great at the front door to melt snow or ice also."", ""Bought because our 70 yr. old house hardwood floors aren't insulated. This product is durable heats evenly perfect on cold nights to keep my feet warm in front of the tv. Did put down a piece of cardboard beneath the mat and floor as suggested by a previous purchaser's comment do not know if necessary. Have been using for weeks works great waterproof is a bonus, easy to keep clean.      arkansas"", 'The foot warmer arrived in a large, flat cardboard carton. Its switch (from high to low wattage and off) works well. This is the second one I have bought, both not for my feet but for my outdoor dogs/cats. Though it was not guaranteed for pets it works well in dog houses when the temperature is at 10 degrees F. Since it is sturdy for standing on with work shoes it also is tough enough for cats and dogs to sleep on. I put a special wrap on the AC wire to it to prevent animals from damaging the cord and usually use it at the low wattage setting. It is much more sturdy than the electric pet pads that are being sold.', 'My significant other has an office area just outside of our main house, the floor is cold and so were her feet until we put one of these mats under her desk and another by her photo tent.  Now her feet are warm and she is happy, so am I.  The wide range of heat settings and heavy construction make this a good purchase.', ""It's perfect!!!We live in Wisconsin with cold winter day's and night's. Hot water heat in our home so under the table gets real chilly because of having tile flooring.This unit is great because its warm enough to feel, yet not so warm you need to keep turning it on and off.I was also happy to see it had a lighted on/off switch about in the middle of the cord.If your legs ever get cool or cold under a desk or table, buy this unit!!!I wish I had it years ago and saved on the electric bill for the small heater I was using."", 'I repair watches my semi finished basement and I  have struggled trying to keep my feet and legs warm as my bench is against an outside wall. Have had an unheated rubber pad on the floor and it helped somewhat but this electric pad is great, l can actually sit in comfort even without shoes or extra pairs of socks.  Actually warms the air space for my legs too! Only used it for a few weeks but I am very impressed. Hope it lasts a long time.', ""It's a little hot for my feet in socks so I just folded up a bath floor towel into 1/4's and it's perfect in my basement office during the winter. I also use it with a Woods 50030 Indoor Countdown Timer so I never have to worry about leaving it on. Great product."", 'Take your shoes off and enjoy this foot pad on the coldest of days!!! Nice! And it has a handy on/off switch half way up the cord!!', ""I bought two of these foot warmers. One in March and one in May 2021.March purchased died in aprx September.May purchased survived till March 2022.Both were once placed under the table and never moved, so it's not a miss-use or broken cable. We always switched them off after several hours of use.Make your own judgment if it's acceptable. I don't think so.On the bright side - when it works it, well, works, keeping your feet warm.""]","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Indus-Tool,,Switch,Electric,,White,115 V,,1,Timer,Floor,,,,,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V 500W Electric Heater Fan Warmer Air Heater Winter Home Room Office 2 Gears,42.08,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,220 V,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 gears,quartz tube heating,500W,500W,220V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Intertek Electric Fan Forced Portable Heater 1500-Watt 5K BTU 1004 348 759,45.0, ,"[""I've had 3 of these heater fans over the years. They save an astronomical amount of money each winter heating my entire home. The central air/heat  works but dogs my smart meter, this saves money and does the same thing."", 'This portable heater is lightweight and easy to use. Controls are very easy to understand.', 'I like the 3 heat settings and the fan only feature, and the tip-over  shut-off feature.', 'Covers a fairly large room which was surprising to me. Very small but quite powerful.', 'Surprised at how small an appliance heated the room.  Would highly recommend. ', 'As advertised. Works great, and runs quite.', 'It works perfect for my space', 'it works as it should.', ""Works great. Puts a lot of heat for it's size."", 'This is an awesome.  It gives out great heat!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Intertek,Portable Heater,"Analog/Mechanical, Dial, Rotary Knob",Electric,Forced Air/Fan,White,120 V,HB-211T,3 Heat,"Overheat Protection, Adjustable thermostat","Desk/Tabletop, Floor",1001-1500 W,313103590560,,Polypropylene,HB-211T,,,NA,9.21 in,151-200 sq ft,5120 BTU,Steel,A - G,Unknown,,4.29 in,Coil,,Unknown,,4.29 in,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25 lb,Electric,100,1500 W,Fan Heaters,70,Forced Air,12.5 A,Small,"Fan Included,Handle,Thermostat",ETL Listed,8.75 in,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PELONIS PH-17P 1500W Fast Heating, Programmable Thermostat Heater ",40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",PELONIS,Portable Heater,,Corded Electric,,White,,PH-17P,,,,,744110745405,,,PH-17P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car Fast Heating Heater Fan 12V Defroster Demister Cooler Dryer 150W Portable,40.49,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Portable Heater,,Electric,,,12 V,,,,,101-200 W,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presto 1000 Watts Heat Dish Parabolic Electric Heater Model 0791708 Works Great,45.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Presto,Parabolic/Dish,"Dial, Switch",Electric,Radiant,Black,120 V,unmarked,3,3 Settings,"Desk/Tabletop, Floor",1000 Watts,Does not apply,,Aluminum,,,,n/a,N/A,100 sq ft or Less,2000-2999 BTU,Unknown,,Less Than 80%,,N/A,Coil,,3 or Less,N/A,N/A,None,No,,1-Way,None,,,,,,,,,China,,,,,,,,,,,,Compliant,N/A,,N/A,N/A,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black & Decker Convection Heater Model BDCV200 Control Thermostat 2 Heat Setting,40.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",BLACK+DECKER,convection,"Push Button, Rotary Knob",Electric,Convection,white,120,BDCV200,2,,Floor,1001-1500 W,,,,,,,,,,,,,,,,,,,,"25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, 1500W/750W Personal Heater for Office Desk, Auto Shut Off, Portabl",41.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,Corded Electric,,Navy Blue,,,,,,,313105290208,,,,0313105290208,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,6 x 4.7 x 9 inches,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENUINE CREDA DIMPLEX XL XLS CSL CXLS SERIES STORAGE HEATER CONTROL KNOB SWITCH,43.28,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",CREDA DIMPLEX,CONTROL KNOB,Switch,,,,,,,,,,Does not apply,,,XL9197,5053197135333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000W Portable Electric Simulation Stove Remote Control Wall-mounted Heater,43.98,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Portable Heater,Push Button,Electric,Forced Air/Fan,,110-240 V,,,Auto Shut-Off,"Baseboard, Desk/Tabletop, Floor",901-1000 W,,,"ABS, Brass",Does Not Apply,,,,12cm,100 sq ft or Less,Less Than 2000 BTU,Brass,,95-100%,,18cm,Coil,,,1M,5cm,21-30 dB,No,,,,,,,,,,,,China,,,,,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor Gas-Heater Portable Lightweight Stainless Steel for Outdoor Winter UB,44.35,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,See description,See description,See description,See description,See description,See description,See description,See description,See description,See description,See description,Does not apply,,See description,Does Not Apply,,,See description,See description,See description,See description,See description,,,,See description,See description,,,,See description,See description,,,,,,,,,,,,,,,,,,,,,,,,,See description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See description,See description,Sports & Outdoor,Traveling Bbq,Outdoor Gas-Heater,Mini-Heater Extendable Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toastmaster HEATLOG Portable Space Heater Radiant Electric 2474 Heat Log FREE,42.98,60-day returns, ,,Toastmaster,Portable Heater,Dial,Electric,Radiant,Brown,120 V,2474,1,,Desk/Tabletop,1000 W,,,Metal,,,,,"17.25""",,,,,,,"6""",,,,,"6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
