Title,Price,Sold,Reviews,Condition,Style,UPC,Power Source,Color,MPN,Item Length,Smart Home Compatibility,Heating Element Format,Brand,Air Direction,Heating Element Material,Type,Control Style,Heating System,Voltage,Model,Mounting Location,Item Width,Power,Colour,Material,Features,Number of Heat Settings,Smart Home Protocol,Country/Region of Manufacture,Refrigerant,Cable Length,Year Manufactured,Location,Size,Custom Bundle,Unit Quantity,Energy Efficiency Ratio (EER),Manufacturer Warranty,Modified Item,EAN,Item Depth,Tank Capacity,Tonnage,Area Covered,Manufacturer Color,Height,Heating Wattage,Heater Style,Heating Technology,Recommended Environment,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,Package Contents,Normal temperature resistance,Item Height,Product Lot Quantity,Room Coverage Area,Width,BTU Heating Rating,PackQty,Manufacturer Part Number,Current Rating,Type  1,Energy Star,Timer Control,EC Range,Overall Length,Overall Length (In.),Terminals,Sheath Material,NumberOfItems,Restricted States,Weight,Slotted Hole Width,Mounting Dimension,Application,Watts,Max. Sheath Temp.,Screw Size,Length,Mounting Type,Watt Density,Phase,Slotted Hole Length,Manufacturer,New Title,Item Weight,Prop65_fl,Prop65Warning,Power Type,ISBN,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Item model number,Warranty Description,Product Dimensions,Country of Origin,Batteries Required?,Heating Method,Item Dimensions LxWxH,Import Designation,Is Discontinued By Manufacturer,Included Components,Room Size,Indoor/Outdoor,Portable Heater Features,Heater Type,Voltage (volts),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Wattage (watts),Color Family,Power/Fuel Type,Amperage (amps),Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Certifications and Listings,Product Weight (lb),Assembly Required,Material Care Instructions,Number of Pieces,Warranty - Parts,Warranty - Labor,Noise Level,Model Number,Category,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,assembled_width_in,assembled_depth_in,room_size,heater_type,assembled_height_in,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,amperage_amps,voltage_volts,product_weight_lb,ProductGroup,ProductTypeName,Use,Gift,Offer,Return,Quality,SHIPPING,Ships from,Customer Service,Main Colour,Hight,Power (W),Compressor Type,Number of Cool Speeds,Specification met,Bulb Type,Heating Technology Type,Mount Location,Depth,Heating Product Type,Area Heated (Sq. Ft.),Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,ASIN,item_width,item_length,Bundle Description,Battery Included,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Finish,Actual Color,Feature,Model No.,Product,SKU,Country of Manufacturer,package_length,Batteries Required,Item Diameter,Finish Types,Made For,Tank Sizes,manufacturer_part_number
QMARK CONVECTION HEATERS,60.00, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,,,,,QMark,,,,,Convection,208/240 V,QMark DBSL04250B20SUMS3,,,,,Aluminum,,,,,,,,,,,,,,,,,,,,Charcoal Gray,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Flashy Radiant Room Heater Compact And Stylish Design (1000 Watt Steel),, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does Not Apply,Electric,Blue,Does not apply,32 Cm Approx,,,Bajaj,,Stainless Steel,Heater,,Radiant,230 V,Heater,Floor,14 Cm Approx,1000 W,,Ceramic,Auto Shut-off,,,India,,,,,,No,,,,,,,,,,,22 cm Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. HEATER LP Fill Plug F276329 Pack of 6,60.62,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0089301763296,"Gas, Propane, Electric",Gold,F276329,,,,Mr. Heater,,Brass,,,,Not Electric,,,,,,Brass,,2,Thread,,,,1986,,,,,,,,0089301763296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heater Fan, with Adjustable Thermostat Portable Overheat Protection for Desk",,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,Does Not Apply,,,,Unbranded,,,Portable Heater,Push Button,,110V-220V,heater,"Desk/Tabletop, Floor",,300-600W,,fireproof plastic Plastic and Metal,overheating power failure,1,,China,,,,,205×159×119mm,,,,,,,,,,,,,,,,,,37-45dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 3R Digital Whole Room Vortex Heater in Black **OPEN BOX**,, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,043765015247,Electric,Black,Velocity 3R,Does not apply,,Does not apply,Vornado,,Does not apply,Portable Heater,Digital,Forced Air/Fan,Does not apply,Velocity 3R,"Desk/Tabletop, Floor",Does not apply,1001-1500 W,,Plastic/metal,Auto Shut-off,Does not apply,,,,,,,,,,,,,,Does not apply,,,up to 250 sq. ft.,,,,,,,Does not apply,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Ceramic Heater 29 in. 1500-Watt Cool-to-the-Touch Timer Thermostat Plastic,62.45,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0046013764423,,,,,,,Lasko,,,,,,,,,,,,,,,,,,,,,,,,,,,0046013764423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New World Marketing EFH1527 CG Electric Fan Heater Swivel,64.89, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,013204015664,Electric,White,EFH1527,,,Strip,Comfort Glow,,,"Air Cleaning, Cooling & Heating",Dial,Forced Air/Fan,120 V,,Floor,,1001-1500 W,,,,1,,,,,,,,,,,,,0013204015664,,,,351-400 sq ft,,,,,,,,,,,,,,,4000-4999 BTU,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreo Portable Space Heater 70°Oscillating Electric Heaters with Digital Therm...,63.1, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,860006518141,,Black,Does not apply,,,,Dreo,,,,,,,Does not apply,,,,,,,,,,,,,,10.3 inch,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0860006518141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Electric Ceramic Tower Heater, 5775",64.99,Last item available,"['The tower was new ""opened box"" performs great.  I use it in our living room to supplementfurnace heat and save money.  The oscillation is a good  feature.', 'This  heater has some great features. Puts out an sufficient amount of heat for one room. Great buy! ', 'Fan is very fast at heating our bathroom.  Adjustable temperatures makes it nice.', 'I love my new Lasko Ceramic HeaterHeats the entire room quickly and quietly. I just bought another. I love this. ', 'This is such a cute heater and performs great. Love it in my kitchen, is just perfect.Loving it.', 'I had one of these for 10 years before it died. I looked for the same model seeing as the first one worked so well for so long. This one is just as good as the first one was. Hopefully it will last just as long.', 'Heats quickly, lightweight, and puts off a good amount of heat, love putting it in the bathroom before I shower!', 'Works well on my enclosed porch exactly as advertised. Especially like the oscillating fan.', ""Heats my son's approximately 500 square ft bedroom in a matter of minutes on the low setting. The high setting is almost too hot to run for long periods this thing works so good. Definitely a great buy for rooms with a draft or just looking to lower heat cost in the winter."", 'Gives out Great Heat and Is Temperature Controlled.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0046013761798,Electric,"Silver, Gray, White, Black","LASKO5775, 378, 5775",,,,Lasko,,,Tower Heater,"Push Button, Digital",Convection,,Lasko 5775,,,,,Ceramic,"Timer, Oscillation",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeleader ETL Portable Radiant Heater Indoor Safe Heater 1250W/1500W Rapid H...,62.48,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,0713440296932,Fan,White,Does not apply,,,,Home Leader,,,Portable Oil Filled Radiator,Touch,Radiant,,Does not apply,Portable,11.2,1250W/1500W,,,Indoor,2,,,,,,,,,,,,,0713440296932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0713440296932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 755320 Ceramic Space Tower Heater 8.5″L x 7.25″W x 23″H In Box W Remote,60.0, ,"[""Had one of these for several years to heat an office work space in my home. Did a great job.  Wanted another small heater for another room on another floor so i didn't have to carry the one I had up /down stairs. Decided to get another Lasko  similar to what i had, rather than risk another brand/model. This Lasko is  reliable, heats quickly, has auto off and an oscillation feature. All pluses and it's light weight.  Can't say it's energy efficient. No small electric heaters are. Heater arrived quickly.  Several days before the targeted delivery date. "", ""With the high cost of propane,  I was looking for a way to help cut some cost. I bought two heaters. The other one is already in storage, (does not work nearly as good as this unit). So far our coldest day has only been down in the mid 30's. With this heater, until it dropped that cold, our Propane hed never needed to kick on once. This is a GREAT Little Heater for Full Time RV'ers, or anyone whom wants to cut down there gas/propane heating bill. Were due to start getting colder weather, So I am now looking for a second heater to help the one we have to heat our 33 foot 5th wheel RV. "", 'This heater is quiet, has hi and lo settings.  Unlike some heaters, As far as I can tell, it does not have an automatic shut off when it tips over, which is a nice safety feature. I have had another Lasko heater for several years, and it has been dependable.', 'I now own 3 of these heater and love them. I live in a rural area with propane being my main source of heat, but I installed solar making electric heat cost effective. I run these in rooms we occupy instead of using propane to heat in needed areas. The on-off range of these heaters is about 3-4 degrees. The run very quiet to the point they are quieter than our tower fan that we use in the summer. Great product and now to see how long it will last.', ""This is the second one of these I have purchased.  I purchased the second because I was so impressed with the features and functioning of the first.  It has a remote (I haven't even used), on-off timer up to 8 hours, one direction or variable direction heating and most important, an accurate thermostat control.  I first started using the original purchase to keep my garage above freezing during low temperature cold spells.  That showed me what a great functional heater this was for any area of the house where additional heat is required."", ""I'll know in a month if this unit is truly energy efficient as I've been using it more than my furnace in the evenings.The only complaint I have is the thermostat may not be accurate. I'll set it for auto shut off when it reaches 70 degrees  but it never seems to get past 67 degrees so it keeps running. When I check the temp on my furnace's thermostat it reads 71 degrees so I know it's heating- just not reaching the correct temp internally to auto shut off.It's relatively quiet and heats a large room up in about 30 mins. or less provided all the windows and doors are closed to hold the heat in. My cats still freak out and won't go near it, especially when it oscillates. Funny stuff!"", ""This little heater is great as a heat supplement for a decent size room (and have actually used it to heat multiple rooms at the same time). Sturdy, safe, and the remote is quite convenient! The internal thermostat can be a little wonky depending if you're opening or closing a bunch of doors, or if people are walking by it constantly, but it straightens itself out fairly quickly. Happy enough with this product that I bought another one for my office!"", ""It's a great heater no question very good quality but I was under the impression it was a fan/heater but there is no just fan feature on it and I know they are made but not this one 😩 as the description of it let me to believe"", ""I love this heater since you can set the temperature you want, light weight for moving and has a remote control for setting the desired temperature. It's just a great heater for bathroom or bedroom and I love it."", ""It's a LASKO first off, and second it's CERAMIC material which is The best to provide The correct amount of heat when set without overheating The Unit at The same time! Third, It comes with A REMOTE CONTROL!. Forth, The Unit OSCILLATES Back, and Forth to heat entire Area, and has The Usual Digital Display on Top of The Heating Unit. The Oscillation can be Set by The Remote as well. PROS: Great Designed Unit. CONS: NONE That I have Found Yet!""]","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,707568281055,Corded Electric,Silver,755320,,,,Lasko,,,Tower Heater,,,,755320,,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,8.6,23,,,,,,,,,,,,,,,,,,,,,,,,
Electric  600W Instant Warmer with PTC Ceramic Heating K4G1,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not Apply,,,Does not Apply,,,,Unbranded/Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNNHHEH7UO,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Flashy Radiant Room Heater Compact And Stylish Design (1000 Watt Steel),, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does Not Apply,Electric,Blue,Does Not Apply,32 Cm Approx,,,Bajaj,,Stainless Steel,Heater,,Radiant,230 V,Heater,Floor,14 Cm Approx,1000 W,,Ceramic,Auto Shut-off,,,India,,,,,,No,,,,,,,,,,,22 cm Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Ceiling Mounted Radiant Quartz Heater with Halogen Light Included,63.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,711181601305,Corded Electric,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,0711181601305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,Radiant,5.25 x 26.5 x 14.25 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilitech Oil Filled Electric Radiator Heater 300 Sq ft 3 Setting Open box,65.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,"Electric, Oil",,,,,,Utilitech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARMLREC Electric Patio Heater With Remote 3-Heat Modes 24H Timer 1500W Porta...,64.65,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Does not apply,,Black Standing,Does not apply,,,,WARMLREC,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Fuel Filter  Buddy Heaters F273699,65.00, ,"['This is the correct filter for using a hose with your Mr Heater. It filters oils that can come from the hose and any trash that might have found its way into hose. Arrived as advertised and ready to go.', ""Those little 1 lb. cylinders are great but if you want to heat for longer than a couple hours you'll find buying a 20 lb. propane tank, a long supply hose and a regulator a must.  My old Mr. Buddys used to work without a regulator but the new one I got wouldn't even light the pilot light without the regulator.  At any rate, I'm sitting warm and Mr. Buddy is working.  Do yourself a favor - even if you don't regularly use a big tank with Mr Buddy having the regulator and hose will give you peace of mind knowing should you need heat for a longer time you've got everything you need to stay warm.  It turns your propane heater from something you can use occasionally to knock the chill off into a heater you can depend on in an emergency."", 'Fuel filter kit matched up with my Mr. Heater without any issues. Works great.', ""I wish it weren't necessary to purchase these filters, because they are expensive and don't last particularly long.  However, they are absolutely necessary.  I learned the hard way with my first Mr. Buddy, which I ran with standard unfiltered propane canisters, which the Mr. Buddy is designed for.  In a season, the heater was hopelessly clogged and useless.  These filters will prevent that from happening.  The problem, unfortunately, is that, with the filters installed, standard canisters don't fit into the heater compartments that are designed to hold them.  The central promise of the Mr. Buddy—portability—is thus dead on arrival."", 'An excellent add-on to a Mr. Heater. Will keep the tiny orifice open and clear, if you are using a 20lbs propane tank. ', ""Have had a Big Buddy for several years as my space heater in the winter. Have always had this filter installed for protection. The filters aren't cheap, but you must have them as a blockage and the cleaning process thereafter is a pain. That's the only reason they are a good value."", 'This product came very fast and it really improve my tent heat performance. Before, I had trouble with the heater. Was hard to start and very hard to keep pilot fire lit. After installing it the pilot heats up fast and stays lit. Nice product, I bought two of them. Both heaters run excellent.', ""The hose I ordered does not require the fuel filter.  My error.  I'm only keeping it in case I buy one that does to run 2 tanks.  Not really a decorater item, so that idea is out.  Into the spares locker on the boat. "", 'Works as needed for Mr heater Buddy heaters.I mistakenly used a generic extension hose from 20lb propane bottle to Buddy heater a few times before the heater stopped working from ""goo"" which came from hose.This filter is much needed for Buddy heaters,I even use it for portable BBQ\'s for same reason.I did learn if the hose from bottle is made by Mr Heater it is fine without filter,true or not I have not tried it yet,Mr Heater uses different materiel for their hoses', ""I used my heaters 2 or 3 times without filter, never again. I didnt know I needed a filter until after reading that I should use one. don't want to damage my heaters. with the price being so low there is just no reason to not use one.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0799360364180,Propane,Gray,F273699,,"Amazon Alexa, Universal",,Mr. Heater,,,Portable Heater,Analog/Mechanical,Convection,12 V,F273699,"Bulkhead, Cabinet",,,,Aluminum,,1,"Bluetooth, Bluetooth/Bluetooth Low Energy (BLE)",,,,2019,,20,,,,,,,,,,,,,,,,,,Standard,,,,,,,10000-10999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utlitech 1500/1300 Watts Utlity Heater,64.99,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,Electric,Black,,,,,Watts,,,Blower,Rotary Knob,,,Utilitech 7123-02-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 224548 1500 W Ceramic Bathroom Heater,62.17, ,"[""I put this bathroom heater in my bedroom to compare with another good Lasko room heater of similar size and the same 1500 W but with different features. I like the angle of the heat blast from this bathroom heater better for when I'm sitting on my bed getting dressed in front of the heater, I am happier with the other in my office. which has a steeper angle of blast and a thermostat.I also use this bathroom heater in the bathroom for which it was intended. I wanted it above the sink level for safety, as there's nowhere else to put the heater but on the sink counter.  I  turned a fire safe small ceramic square kleenex holder upside down, and the heater's feet fit nicelyinside.This bathroom heater is convenient because of the one press button for a preset one hour of high heat for quick warmups such as in the bathroom or when getting dressed. No fussing with buttons. It also has High and Low settings that run without a timer.I also noticed that some sellers were saying their heaters were OK for the bathroom but the actual manufacturer did not.  This Bathroom heater is designed for the bathroom.  I'm not sure if the tripper in the cord is necessary if the outlet has one too, as many houses do these days in any water environment such as the bathroom or the kitchen.  I'm guessing the tripper in the plug reacts to the unit rather than the wall socket."", ""This heater does an excellent job of putting out a lot of air with the fan and also Heats the room excellently. For my application I'm using it in a fifth wheel trailer bathroom which is fairly small but one of the problems I'm having with the heater is I'm using a different thermostat on it that is more accurate to turn on and off and the heater shuts off and doesn't come back on when I use the thermostat on it so what you need to do is put something on the round button on top of the heater and tape it down to hold the button down all the time so that thermostat that I've got set up works properly and we'll kick the heater on when the temperature drops or more so when I want to heat the bathroom during a certain time of the day like when I take a shower.Otherwise the heater is an excellent heater and I would highly recommend anybody to buy it very good quality."", 'The heater is modern in design. It has a one hour feature that I love. I turn it on , shower get dressed in a warm bathroom, never have to wonder if I left it running. It automatically shuts off after 1 hour.', ""1. easy to turn on and off2. heats up fast3. has 1-hour auto shutoff4. very sturdy design, not likely to tip over5. made for humid areas like bathroomsbonus: it's cute!"", ""Here's the story:  To have my small bathroom warm when I get up in the morning for my shower, I had a small ceramic 1500 Watt heater connected into a wall timer to turn on automatically, and if I forgot (which I often did) to turn off automatically. With this Lasko heater, I tap the top when I'm ready to shower and it turns on high for one hour. Firstly, I don't have to remember to turn it off. Secondly, the velocity of the hot air coming out is so high that the bathroom heats up much quicker than my other heater, even though the wattage of both units is the same. This saves my electric bill.It seems to be good, quality wise, but it's only a month old now so we'll see.  November, 2020A note:  After it's turned off, and the top button (the big and only one) is tapped, it starts at the timed one hour 1500 Watt setting automatically."", ""It is difficult to find a space heater that is specifically for bathroom use. I was happy to find this one at this price and good reviews! It does exactly what I need it to do, I warm up my bathroom before a shower as my heat does not do that well - North side of house in Wisconsin! I will see how it holds up this winter, but so far very pleased with it's performance."", 'Works great! Instant heat . Small size is great. Comes with wet location plug  &amp; cord', ""Perfect replacement for my old heater that finally died. Small, lightweight, gets super warm in my little bathroom. Like that it's specifically made to use in a bathroom. Warming, the front grill can get hot!"", 'This little heater has all the power i need to heat up the bathroom in a hurry. Set it for an hour walk away and it turns itself off. Very nice 👍 made for humid bathroom areas. Very attractive too.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0046013776204,"Fan, Electric","Gray, White, Ceramic",CD08200,,Bathroom heater,,Lasko,,,Ceramic,"Push Button, Touch",Forced Air/Fan,12 V,Lasko CD08200,"Portable, Desk/Tabletop",,1500,,"Ceramic, Metal","Timer, Indoor, 3 Heat Settings,1-Hour Timer,Automatic Overheat Protection, Portable, Cool-to-Touch, automatic overheat protection, Portable,Thermostat, Portable,Overheat Protection,Thermostat, 1 hour timer, Plug, 3 heat settings, acli safety plug, Bladeless, Automatic Shutoff,Cool-to-Touch,ACLI Safety Plug, Adjustable Thermostat, Bladeless, Overheat Protection, Heater, Adjustable Thermostat",3,Ceramic,,,,,,,,,,,,0046013776204,,,,150 to 249 sq ft,,,,,,,,,,,,,,,,,,,,,1 Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
